id,xcoord,ycoord,venueSize,gigName,locationName,billing,headlineArtist,date,year,month,day,time
19,-1.259,51.745,-1,"The Verve at Apollo (February 7, 1992)","Oxford, UK",,,1992-02-07,1992,2,7,null
20,-0.1304708,51.515884,2000,"Smashing Pumpkins with The Verve and Catherine Wheel at Astoria (February 14, 1992)","London, UK",,,1992-02-14,1992,2,14,null
21,-1.259,51.745,-1,"The Verve at Wadham College (February 28, 1992)","Oxford, UK",,,1992-02-28,1992,2,28,null
22,0.1194611,52.20439,1800,"Ride and The Verve at Corn Exchange Cambridge (March 1, 1992)","Cambridge, UK",,,1992-03-01,1992,3,1,null
23,1.2490275,52.62884,1500,"Ride and The Verve at Norwich UEA LCR (March 2, 1992)","Norwich, UK",,,1992-03-02,1992,3,2,null
24,-1.4765307,52.922752,-1,"Ride and The Verve at Assembly Rooms (March 3, 1992)","Derby, UK",,,1992-03-03,1992,3,3,null
25,-2.1758509,53.023476,-1,"Ride and The Verve at Victoria Hall (March 4, 1992)","Stoke On Trent, UK",,,1992-03-04,1992,3,4,null
26,-1.4912771,53.381065,-1,"Ride with The Verve at Octagon Centre, University of Sheffield (March 5, 1992)","Sheffield, UK",,,1992-03-05,1992,3,5,null
27,-1.5572104,53.807632,2100,"Ride and The Verve at The Refectory, Leeds University (March 6, 1992)","Leeds, UK",,,1992-03-06,1992,3,6,null
28,-2.23149,53.464108,1500,"Ride and The Verve at Manchester Academy (March 7, 1992)","Manchester, UK",,,1992-03-07,1992,3,7,null
29,-1.2350084,54.57475,-1,"Ride with The Verve at Middlesbrough Town Hall (March 9, 1992)","Middlesbrough, UK",,,1992-03-09,1992,3,9,null
30,-1.2188351,54.692936,-1,"The Verve at Town Hall (March 9, 1992)","Hartlepool, UK",,,1992-03-09,1992,3,9,null
31,-2.11,57.1526,-1,"The Verve at Capitol Theatre (March 11, 1992)","Aberdeen, UK",,,1992-03-11,1992,3,11,null
32,-2.23149,53.464108,1500,"The Verve at Manchester Academy (March 14, 1992)","Manchester, UK",,,1992-03-14,1992,3,14,null
33,-1.611,54.973,-1,"Ride with The Verve at Mayfair Ballroom (March 15, 1992)","Newcastle Upon Tyne, UK",,,1992-03-15,1992,3,15,null
34,-2.9813228,53.407375,-1,"Ride, Mercury Rev, and The Verve at Royal Court Theatre (March 16, 1992)","Liverpool, UK",,,1992-03-16,1992,3,16,null
35,-1.893883,52.480877,-1,"The Verve at Hummingbird (March 17, 1992)","Birmingham, UK",,,1992-03-17,1992,3,17,null
36,-1.0930138,50.796375,-1,"The Verve at Portsmouth Guildhall (March 20, 1992)","Portsmouth, UK",,,1992-03-20,1992,3,20,null
37,1.174568,51.076447,-1,"The Verve at Leas Cliff Hall (March 21, 1992)","Folkestone, UK",,,1992-03-21,1992,3,21,null
38,-1.1192095,52.62653,-1,"The Verve at De Montfort Hall (March 23, 1992)","Leicester, UK",,,1992-03-23,1992,3,23,null
39,-0.1064525,51.53331,-1,"The Verve at Powerhaus (March 24, 1992)","London, UK",,,1992-03-24,1992,3,24,null
40,-0.138,50.839,-1,"Ride, Mercury Rev, and The Verve at The Event (March 25, 1992)","Brighton, UK",,,1992-03-25,1992,3,25,null
41,-0.1148897,51.465122,4921,"Ride with The Verve and Mercury Rev at O2 Academy Brixton (March 27, 1992)","London, UK",,,1992-03-27,1992,3,27,null
42,-0.1064525,51.53331,-1,"The Verve with Puressence at Powerhaus (April 25, 1992)","London, UK",,,1992-04-25,1992,4,25,null
43,-2.115,52.586,-1,"The Verve at Picasso's (May 1, 1992)","Wolverhampton, UK",,,1992-05-01,1992,5,1,null
