id,xcoord,ycoord,bng_N,bng_E,venueSize,gigName,locationName,billing,headlineArtist,date,year,month,day,time
84,-2.206175,53.460663,396040.47,386312.56,7000,"Blur, The Jesus and Mary Chain, My Bloody Valentine, and Dinosaur Jr. at O2 Apollo Manchester (March 24, 1992)","Manchester, UK",,,1992-03-24,1992,3,24,null
85,-4.2809606,55.860603,665397.9,257257.62,-1,"My Bloody Valentine, The Jesus and Mary Chain, Blur, and Dinosaur Jr. at Scottish Exhibition and Conference Centre (March 25, 1992)","Glasgow, UK",,,1992-03-25,1992,3,25,null
86,-1.451299,55.04639,572579.44,435055.5,-1,"Dinosaur Jr., The Jesus and Mary Chain, My Bloody Valentine, and Blur at Ice Rink (March 27, 1992)","Whitley Bay, UK",,,1992-03-27,1992,3,27,null
87,-1.4168171,53.400543,389491.4,438770.53,13500,"Blur, Dinosaur Jr., The Jesus and Mary Chain, and My Bloody Valentine at Motorpoint Arena (March 28, 1992)","Sheffield, UK",,,1992-03-28,1992,3,28,null
88,-4.152859,50.367966,54291.617,246913.03,-1,"Blur, Dinosaur Jr., The Jesus and Mary Chain, and My Bloody Valentine at Plymouth Pavilions (March 30, 1992)","Plymouth, UK",,,1992-03-30,1992,3,30,null
89,-0.1488263,50.82128,104111.836,530377.44,-1,"Blur, Dinosaur Jr., The Jesus and Mary Chain, and My Bloody Valentine at Brighton Centre (April 1, 1992)","Brighton, UK",,,1992-04-01,1992,4,1,null
90,-3.1771,51.478,176160.92,318264.06,-1,"Blur, The Jesus and Mary Chain, Dinosaur Jr., and My Bloody Valentine at Wales National Ice Rink (April 3, 1992)","Cardiff, UK",,,1992-04-03,1992,4,3,null
91,-1.7289522,52.451088,283758.75,418418.16,15700,"Blur, Dinosaur Jr., The Jesus and Mary Chain, and My Bloody Valentine at LG Arena (April 4, 1992)","Birmingham, UK",,,1992-04-04,1992,4,4,null
92,-0.1148897,51.465122,175757.08,530932.7,4921,"The Jesus and Mary Chain with My Bloody Valentine, Dinosaur Jr., and Blur at O2 Academy Brixton (April 5, 1992)","London, UK",,,1992-04-05,1992,4,5,null
93,-0.1148897,51.465122,175757.08,530932.7,4921,"The Jesus and Mary Chain, Blur, My Bloody Valentine, and Dinosaur Jr. at O2 Academy Brixton (April 6, 1992)","London, UK",,,1992-04-06,1992,4,6,null
94,-0.1148897,51.465122,175757.08,530932.7,4921,"Dinosaur Jr., The Jesus and Mary Chain, My Bloody Valentine, and Blur at O2 Academy Brixton (April 7, 1992)","London, UK",,,1992-04-07,1992,4,7,null
95,-2.587,51.1663,141007.0,358961.97,-1,Glastonbury Festival 1992,"Pilton, UK",,,1992-06-26,1992,6,26,null
96,-0.141771,51.552048,185374.97,528820.3,2350,"Blur with Suede, Mega City Four, and 3 12 Minutes at The Forum (July 23, 1992)","London, UK",,,1992-07-23,1992,7,23,null
97,-0.128,51.5078,180479.5,529900.8,-1,"Blur at The Gardens, Fulham (December 17, 1992)","London, UK",,,1992-12-17,1992,12,17,null
98,-0.141771,51.552048,185374.97,528820.3,2350,"Blur at The Forum (February 6, 1993)","London, UK",,,1993-02-06,1993,2,6,null
99,-1.12483,52.623302,303237.88,459236.6,-1,"Blur at Leicester University Student Union (May 26, 1993)","Leicester, UK",,,1993-05-26,1993,5,26,null
100,-1.8998971,52.474327,286313.3,406798.6,3000,"Blur at O2 Academy Birmingham (May 27, 1993)","Birmingham, UK",,,1993-05-27,1993,5,27,null
101,-0.8992343,52.239994,260817.12,475155.0,-1,"Blur at Roadmender (May 28, 1993)","Northampton, UK",,,1993-05-28,1993,5,28,null
102,-2.23149,53.464108,396428.9,384633.22,-1,"Blur at The Hop & Grape University of Manchester (May 29, 1993)","Manchester, UK",,,1993-05-29,1993,5,29,null
103,-0.3714517,53.769314,431586.5,507325.22,-1,"Blur at Hull University Student Union (May 30, 1993)","Hull, UK",,,1993-05-30,1993,5,30,null
104,-1.8941518,52.478756,286806.53,407188.1,-1,"Blur at The Irish Centre (June 1, 1993)","Birmingham, UK",,,1993-06-01,1993,6,1,null
105,1.2490275,52.62884,308450.78,619856.56,1500,"Blur at Norwich UEA LCR (June 2, 1993)","Norwich, UK",,,1993-06-02,1993,6,2,null
106,-0.09965,50.85925,108420.74,533732.06,-1,"Blur at Stanmer Park (June 3, 1993)","Brighton, UK",,,1993-06-03,1993,6,3,null
107,-0.1304708,51.515884,181373.95,529706.4,2000,"Blur at Astoria (June 4, 1993)","London, UK",,,1993-06-04,1993,6,4,null
108,-5.930742,54.593197,529119.8,146108.69,-1,"Blur at Limelight (June 6, 1993)","Belfast, UK",,,1993-06-06,1993,6,6,null
109,-2.6088538,51.457504,173400.78,357702.75,-1,"Blur at The Anson Rooms, University of Bristol (June 8, 1993)","Bristol, UK",,,1993-06-08,1993,6,8,null
110,-1.147,52.954,340001.75,457299.88,-1,heineken music festival 1993,"Nottingham, UK",,,1993-07-08,1993,7,8,null
111,-1.147,52.954,340001.75,457299.88,-1,Nottingham Heineken festival 1993,"Nottingham, UK",,,1993-07-10,1993,7,10,null
112,-0.6,51.4833,177022.66,497201.84,-1,"Blur with Elastica at Old Trout (August 27, 1993)","Windsor, UK",,,1993-08-27,1993,8,27,null
113,-0.969,51.454,173339.06,471628.8,-1,Reading Festival 1993,"Reading, UK",,,1993-08-29,1993,8,29,null
114,-4.2369184,55.855057,664690.9,259993.33,1900,"Radiohead and Blur at Barrowland Ballroom (September 3, 1993)","Glasgow, UK",,,1993-09-03,1993,9,3,null
