id,xcoord,ycoord,bng_N,bng_E,venueSize,gigName,locationName,billing,headlineArtist,date,year,month,day,time
105,-4.66667,55.6,637271.4,232010.14,-1,"Oasis at Irvine Beach (July 15, 1995)","Irvine, UK",,,1995-07-15,1995,7,15,null
106,-2.172,53.026,347683.9,388465.06,-1,"Oasis at Trentham Gardens (September 14, 1995)","Stoke On Trent, UK",,,1995-09-14,1995,9,14,null
107,-0.128,51.5078,180479.5,529900.8,-1,"Oasis at Virgin Megastore (October 1, 1995)","London, UK",,,1995-10-01,1995,10,1,null
108,-3.05,53.8167,436139.0,330878.8,-1,"Oasis at Empress Ballroom (October 2, 1995)","Blackpool, UK",,,1995-10-02,1995,10,2,null
109,-2.172,53.026,347683.9,388465.06,-1,"Oasis at Trentham Gardens (October 3, 1995)","Stoke On Trent, UK",,,1995-10-03,1995,10,3,null
110,-1.8791888,50.71766,90963.87,408527.8,-1,"Oasis with Smaller at Bournemouth International Centre (October 5, 1995)","Bournemouth, UK",,,1995-10-05,1995,10,5,null
111,-2.25,51.8333,215045.8,382775.34,-1,"Oasis with Smaller at Gloucester Leisure Centre (October 6, 1995)","Gloucester, UK",,,1995-10-06,1995,10,6,null
112,-0.1965816,51.490677,178455.64,525189.1,19000,"Oasis with Bootleg Beatles at Earls Court (November 4, 1995)","London, UK",,,1995-11-04,1995,11,4,null
113,-0.1965816,51.490677,178455.64,525189.1,19000,"Oasis with Bootleg Beatles at Earls Court (November 5, 1995)","London, UK",,,1995-11-05,1995,11,5,null
114,-1.128,52.634,304424.9,459007.62,-1,"Oasis at Granby Halls (November 17, 1995)","Leicester, UK",,,1995-11-17,1995,11,17,null
115,-1.611,54.973,564344.94,424898.0,-1,"Oasis with Ocean Colour Scene at Whitley Bay Ice Rink (November 25, 1995)","Newcastle Upon Tyne, UK",,,1995-11-25,1995,11,25,null
