"OBJECTID,N,9,0","id,N,9,0","xcoord,N,19,11","ycoord,N,19,11","venueSize,N,9,0","gigName,C,254","locationNa,C,254","billing,C,254","headlineAr,C,254","date,D","year,N,9,0","month,N,9,0","day,N,9,0","time,C,254",XBNG,YBNG
50,49,-2.9387968,54.896336,320,"Arctic Monkeys at The Brickyard (June 10, 2005)","Carlisle, UK",,,10/06/05,2005,6,10,null,339888.9564,556137.4837
51,50,-1.5570126,53.80464,-1,"Arctic Monkeys at The Faversham (June 11, 2005)","Leeds, UK",,,11/06/05,2005,6,11,null,429271.7516,434351.2745
52,51,-1.48333,53.55,-1,"Arctic Monkeys at Birdwell Club (June 26, 2005)","Barnsley, UK",,,26/06/05,2005,6,26,null,434330.0221,406053.719
53,52,-1.0780809,53.95925,200,"Arctic Monkeys at Fibbers (June 27, 2005)","York, UK",,,27/06/05,2005,6,27,null,460589.0037,451855.8284
54,53,-1.2519926,54.572166,-1,"Arctic Monkeys at Middlesbrough Arena (June 28, 2005)","Middlesbrough, UK",,,28/06/05,2005,6,28,null,448455.5904,519917.94
55,54,-4.2653494,55.8625,300,"Arctic Monkeys at King Tut's Wah Wah Hut (June 30, 2005)","Glasgow, UK",,,30/06/05,2005,6,30,null,258321.7681,665578.2436
56,55,-1.48333,53.55,-1,"Arctic Monkeys at Birdwell Working Men's Club (July 25, 2005)","Barnsley, UK",,,25/07/05,2005,7,25,null,434330.0221,406053.719
57,56,-1.0780809,53.95925,200,"Arctic Monkeys at Fibbers (July 27, 2005)","York, UK",,,27/07/05,2005,7,27,null,460589.0037,451855.8284
58,57,-1.2317138,54.57606,-1,"Arctic Monkeys at The Empire Middlesbrough (July 28, 2005)","Middlesbrough, UK",,,28/07/05,2005,7,28,null,449761.83,520365.361
59,58,-4.2653494,55.8625,300,"Arctic Monkeys with Yellow Bentines and The Last Project at King Tut's Wah Wah Hut (July 30, 2005)","Glasgow, UK",,,30/07/05,2005,7,30,null,258321.7681,665578.2436
60,59,-1.4648403,53.376324,900,"The Long Blondes and Arctic Monkeys at The Leadmill (July 31, 2005)","Sheffield, UK",,,31/07/05,2005,7,31,null,435700.0049,386740.8979
61,60,-1.611,54.973,-1,"Arctic Monkeys at The Cluny (August 1, 2005)","Newcastle Upon Tyne, UK",,,01/08/05,2005,8,1,null,424999.19,564334.0805
62,61,-2.633262,53.54511,-1,"Arctic Monkeys at Nirvana (August 2, 2005)","Wigan, UK",,,02/08/05,2005,8,2,null,358135.2102,405572.3279
63,62,-0.333333,53.7167,-1,"Arctic Monkeys at Silhouettes (August 13, 2005)","Hull, UK",,,13/08/05,2005,8,13,null,510085.838,425765.4977
64,63,-1.8998971,52.474327,600,"Arctic Monkeys with Sunset Cinema Club at O2 Academy 2 Birmingham (August 14, 2005)","Birmingham, UK",,,14/08/05,2005,8,14,null,406896.471,286270.8479
65,64,-0.8904272,52.242805,-1,"Arctic Monkeys at The Soundhaus (August 16, 2005)","Northampton, UK",,,16/08/05,2005,8,16,null,475857.9553,261093.024
66,65,-3.5312524,50.724808,450,"Arctic Monkeys at Exeter Phoenix (August 17, 2005)","Exeter, UK",,,17/08/05,2005,8,17,null,292013.9924,92805.8534
67,66,-1.2206911,51.73873,1020,"Arctic Monkeys with The Quarter Finals at O2 Academy Oxford (August 18, 2005)","Oxford, UK",,,18/08/05,2005,8,18,null,453908.7988,204734.237
68,67,-5.928,54.599,1020,"Arctic Monkeys at Unknown venue (August 20, 2005)","Belfast, UK",,,20/08/05,2005,8,20,null,146387.6358,529741.3049
69,68,0.7187767,51.533085,-1,"Arctic Monkeys at Chinnery's (August 23, 2005)","Southend, UK",,,23/08/05,2005,8,23,null,588667.3022,185078.8541
